emp no,Full Name,Net Hourly Rate,Gorss Monthly Rate,Percent Salary Hike
STAFF-1825,Cynthia Smith,54,18168,16
STAFF-1826,Nicholas Beck,97,19394,19
STAFF-1827,David Reilly,82,17881,11
STAFF-1828,Brian Martin,92,20750,16
STAFF-1829,Spencer Miller,31,12066,24
STAFF-1830,John Hester,87,14862,11
STAFF-1831,Kevin Clark,96,11868,13
STAFF-1832,John Craig,67,4652,13
STAFF-1833,Carmen Rowe,97,23258,13
STAFF-1834,Shelly Jones,77,5915,12
STAFF-1835,Amanda Brown,72,17434,18
STAFF-1836,Adam Marks,73,6582,22
STAFF-1837,William Medina,43,24440,13
STAFF-1838,Steven Odom,61,3809,13
STAFF-1839,Samantha Hull,40,3427,23
STAFF-1840,Ashley Johnson,95,26914,12
STAFF-1841,Christopher Mccarthy,46,22553,12
STAFF-1842,Micheal Cummings,95,20490,16
STAFF-1843,Jason Pacheco,49,21123,12
STAFF-1844,Michael Stone,59,4345,11
STAFF-1845,Reginald Thompson,78,13436,22
STAFF-1846,Deborah Clark,86,8509,11
STAFF-1847,Jacqueline Nguyen,72,12740,15
STAFF-1848,Justin Marquez,31,4156,12
STAFF-1849,Brett Potter,61,15238,20
STAFF-1850,Pamela Peters,74,2227,14
STAFF-1851,Jesse Christensen,99,12090,11
STAFF-1852,Anthony Vance,72,23866,15
STAFF-1853,Bryan Johnston,98,16193,12
STAFF-1854,Janice Todd,52,8213,14
STAFF-1855,Gregory Yang,86,18256,11
STAFF-1856,Zachary Johnson,83,19558,11
STAFF-1857,Jason Holt,49,19566,16
STAFF-1858,Jason Johnson,79,13535,12
STAFF-1859,Angel Sutton,91,9396,13
STAFF-1860,Angela Patel,39,19609,14
STAFF-1861,Austin Moore,69,9655,21
STAFF-1862,Rick Payne,30,10310,13
STAFF-1863,Michelle Johnston,92,12932,11
STAFF-1864,Stephanie Guzman,43,24793,20
STAFF-1865,Alexander Everett,41,3854,11
STAFF-1866,Ashley Barber,87,26314,14
STAFF-1867,Scott Harrison,88,4386,11
STAFF-1868,Heather Anthony,62,21972,16
STAFF-1869,Brittney Ramos,33,12253,16
STAFF-1870,Wesley Dixon,42,12106,23
STAFF-1871,Mark Johnson,79,13022,14
STAFF-1872,Justin Miles,90,3032,22
STAFF-1873,Joseph Villanueva,53,16734,15
STAFF-1874,Leonard Sullivan,93,21526,18
STAFF-1875,Keith Norris,71,18300,16
STAFF-1876,Christopher Henderson,52,18437,12
STAFF-1877,Anthony Sanchez,69,2890,11
STAFF-1878,Joshua Blackburn,56,22102,12
STAFF-1879,Wendy Moore,88,9314,15
STAFF-1880,Taylor Herrera,49,7181,14
STAFF-1881,Cynthia Meyer,80,2845,19
STAFF-1882,Mr. David Anthony,65,7389,13
STAFF-1883,Cindy Young,51,2288,13
STAFF-1884,Nicole Hodges,46,19225,15
STAFF-1885,Katherine Thomas,42,23428,11
STAFF-1886,Jillian Jackson,62,8416,12
STAFF-1887,Michelle Huff,94,11563,19
STAFF-1888,Seth Cooley,33,14394,25
STAFF-1889,Michael Chase,56,24619,12
STAFF-1890,Cynthia Graham,38,6705,13
STAFF-1891,Abigail Carr MD,57,18398,14
STAFF-1892,Jose Peterson,72,14295,12
STAFF-1893,Deanna Valdez,66,22908,12
STAFF-1894,Lance Marsh,43,11533,15
STAFF-1895,Reginald Gonzalez,97,9260,17
STAFF-1896,Kenneth Farmer,32,15318,14
STAFF-1897,Mary Moses,99,9129,16
STAFF-1898,Vanessa Clements,37,19658,14
STAFF-1899,Donald Diaz,83,9873,23
STAFF-1900,Christina Rodgers,56,13430,14
STAFF-1901,Nicholas Murray,85,18659,11
STAFF-1902,Tiffany May,75,20364,15
STAFF-1903,Kaitlyn Green,48,17872,11
STAFF-1904,Rachel Valencia,77,8346,13
STAFF-1905,Ronnie Gonzalez,56,6950,21
STAFF-1906,Amber Anderson,61,16177,19
STAFF-1907,Melissa Hawkins,58,22808,11
STAFF-1908,Joseph Ray,34,22645,12
STAFF-1909,Zachary Davis,95,22578,19
STAFF-1910,Anna Keller,44,25291,21
STAFF-1911,Jasmin Obrien,69,8059,14
STAFF-1912,Thomas Russell,58,11373,15
STAFF-1913,Grant Baxter,62,2112,17
STAFF-1914,James Hess,45,4267,12
STAFF-1915,Megan Duncan,80,6698,16
STAFF-1916,Joel Wheeler II,74,19921,12
STAFF-1917,Sarah Cooper,66,23213,18
STAFF-1918,Luis Flores,59,23848,17
STAFF-1919,William Ochoa,86,8984,11
STAFF-1920,Karen Moore,91,5626,16
STAFF-1921,Joseph Marks,69,24666,13
STAFF-1922,Kelsey Jackson,78,22087,12
STAFF-1923,Kimberly Lawrence,60,23914,12
STAFF-1924,Robert Williams,38,5530,13
STAFF-1925,Alexander Craig,76,22174,19
STAFF-1926,Emily Parker,65,15701,12
STAFF-1927,Jonathan Moreno,58,2125,17
STAFF-1928,John Acosta,89,21630,11
STAFF-1929,William Adams,66,7428,20
STAFF-1930,Gregory Park,94,9100,21
STAFF-1931,John Cameron,99,7999,11
STAFF-1932,Timothy Hall,40,26376,11
STAFF-1933,John Smith,55,14168,16
STAFF-1934,Terry Miranda,74,14470,18
STAFF-1935,Jacob Mann,83,22794,13
STAFF-1936,Brandon Carter,46,11512,17
STAFF-1937,Dustin Stevens,54,14004,14
STAFF-1938,Kari Johnson,66,6219,22
STAFF-1939,Brenda Martinez,66,5013,12
STAFF-1940,Daniel Parsons,75,3010,11
STAFF-1941,Andrew Wolf,83,11757,13
STAFF-1942,Christopher Garcia,81,5718,13
STAFF-1943,Theresa Thompson,50,2671,14
STAFF-1944,Nicole White,43,14561,17
STAFF-1945,Robyn Garcia,72,19627,13
STAFF-1946,David Patterson,40,17997,11
STAFF-1947,Cynthia Smith,50,26894,11
STAFF-1948,Mary Friedman,31,2912,18
STAFF-1949,Suzanne Castillo,85,16346,11
STAFF-1950,Robert Gonzalez,49,24444,11
STAFF-1951,Jerome Davidson,35,9358,12
STAFF-1952,Lauren Hughes,69,12145,20
STAFF-1953,Diane Byrd,39,20431,12
STAFF-1954,Jennifer Clark,92,18089,12
STAFF-1955,Michael Harrington,71,22653,20
STAFF-1956,Rebecca Hill,34,7507,20
STAFF-1957,Christopher Anderson,42,7660,12
STAFF-1958,Larry Williams,100,5630,14
STAFF-1959,Corey Oconnell,71,17759,13
STAFF-1960,Adam Acosta,36,9606,15
STAFF-1961,Amy David,62,3487,14
STAFF-1962,Eric Vaughn,82,19368,13
STAFF-1963,Jerry Williams,30,5335,23
STAFF-1964,Heather Wright,88,6729,15
STAFF-1965,Dr. Russell Morris,48,13934,11
STAFF-1966,Benjamin Rios,54,15174,13
STAFF-1967,Michelle Hancock,32,26999,11
STAFF-1968,Daniel Ramirez,70,3164,11
STAFF-1969,Ian Hurley,41,16900,18
STAFF-1970,Raymond Skinner,58,8544,16
STAFF-1971,Desiree Dickson,57,15678,22
STAFF-1972,John Martinez,46,7791,20
STAFF-1973,Michael Villarreal,76,18959,18
STAFF-1974,Sandra Anderson,56,18597,12
STAFF-1975,Douglas Davis,71,16673,20
STAFF-1976,Patricia Jackson,80,15232,17
STAFF-1977,Dr. Albert Morales Jr.,74,3297,11
STAFF-1978,Sarah Simpson,46,17654,14
STAFF-1979,Jenna Myers,65,24785,14
STAFF-1980,Holly Hall,80,20978,11
STAFF-1981,Elizabeth Flynn,55,21703,12
STAFF-1982,Daniel Phillips,50,23452,14
STAFF-1983,Christina Lang,33,19383,13
STAFF-1984,Lori Holmes,68,6009,11
STAFF-1985,Amanda Evans,39,19373,15
STAFF-1986,Denise Hammond,42,11825,12
STAFF-1987,William Torres,48,23772,21
STAFF-1988,Paul Hill,59,13514,19
STAFF-1989,Jennifer Ryan,73,8861,15
STAFF-1990,Gina Mills,84,11924,14
STAFF-1991,Ronald Thomas DDS,32,4809,21
STAFF-1992,Michael Bennett,59,19562,12
STAFF-1993,Katherine Hester,54,9983,15
STAFF-1994,Paul Brown,67,3872,13
STAFF-1995,Angela Alvarado,63,20335,14
STAFF-1996,Emily Lloyd,81,15397,14
STAFF-1997,Jacob Owens,49,2104,14
STAFF-1998,Katherine Cole,49,10225,12
STAFF-1999,Richard Wade,99,25275,23
STAFF-2000,Shelly Neal,99,2755,11
STAFF-2001,Amy Parrish,57,20366,12
STAFF-2002,Crystal Whitaker,47,23683,18
STAFF-2003,Stephanie Malone,96,7360,11
STAFF-2004,Donna Jensen,37,4344,14
STAFF-2005,John Hanna,44,18767,15
STAFF-2006,Timothy Williams,81,20420,11
STAFF-2007,Christopher Huerta,86,22929,20
STAFF-2008,Aaron Moore,55,23398,19
STAFF-2009,Stephen Williams,83,17967,14
STAFF-2010,Evan Paul,86,10919,17
STAFF-2011,Lisa Hahn,61,4761,11
STAFF-2012,Amy Benjamin,80,21146,15
STAFF-2013,Dawn Miller,92,20471,13
STAFF-2014,Shawna Snyder,32,4187,14
STAFF-2015,Michele Mora,31,10084,11
STAFF-2016,Michael Rodgers,63,5207,13
STAFF-2017,Mrs. Barbara Bender,32,22807,23
STAFF-2018,Adam Collins,46,12388,13
STAFF-2019,Michelle Edwards,79,19630,18
STAFF-2020,Amy Flores,77,10339,12
STAFF-2021,Robert Cisneros,60,18686,22
STAFF-2022,Kimberly Rogers,78,21199,13
STAFF-2023,Andrew Jackson,76,14229,15
STAFF-2024,Nathan Miller,41,26589,18
STAFF-2025,Franklin Mccullough,71,5288,14
STAFF-2026,Nathan Ruiz,66,25549,12
STAFF-2027,Carrie Short,38,3064,17
STAFF-2028,Nancy Pierce,72,13551,16
STAFF-2029,Zachary Davis,95,22670,11
STAFF-2030,Paul Wilson,84,24008,19
STAFF-2031,Jennifer Valdez,82,19905,13
STAFF-2032,David Gonzalez MD,75,26085,12
STAFF-2033,Lisa Young,86,7530,11
STAFF-2034,Robert Phillips,72,20317,16
STAFF-2035,Michelle Hansen,38,24375,21
STAFF-2036,Brandy Chaney,38,9931,24
STAFF-2037,Janet Anderson DDS,93,13305,17
STAFF-2038,Emily Soto,66,16225,13
STAFF-2039,Melissa Park,63,3445,21
STAFF-2040,Amy Calderon,60,26551,11
STAFF-2041,David Harris,82,21821,20
STAFF-2042,Brenda Reyes,64,6881,16
STAFF-2043,Jessica Jones,36,6689,11
STAFF-2044,John Brown,49,25995,11
STAFF-2045,Stephanie Curry,69,26507,15
STAFF-2046,Jeffrey Vaughn,33,12982,11
STAFF-2047,Donald Harrell,35,23361,15
STAFF-2048,Kathleen Dillon,81,23779,24
STAFF-2049,Michael Lindsey,31,25761,12
STAFF-2050,Kathryn Castro,40,13301,13
STAFF-2051,Jesus Duran,43,4051,13
STAFF-2052,Jonathan White,46,16374,17
STAFF-2053,Douglas Diaz,36,25527,13
STAFF-2054,Kristy Nelson,98,19124,12
STAFF-2055,Aaron Adams,51,11983,14
STAFF-2056,Brady Schwartz,52,20234,24
STAFF-2057,Victor Williams,95,6153,14
STAFF-2058,Bryan Raymond,98,11806,13
STAFF-2059,Jody Burke,45,4284,15
STAFF-2060,Antonio Anderson,100,8306,16
STAFF-2061,Donald Johnson,43,5860,18
STAFF-2062,Shirley Glass,37,21519,16
STAFF-2063,Michelle Vasquez,94,5200,24
STAFF-2064,Zachary Stanley,42,8842,16
STAFF-2065,Wayne Dillon,59,18869,21
STAFF-2066,Joseph Smith,81,3698,20
STAFF-2067,Leslie Bennett,88,2243,19
STAFF-2068,Gwendolyn Castillo,88,20898,14
STAFF-2069,Amber Maddox,50,16571,11
STAFF-2070,Victoria Moreno,66,5594,14
STAFF-2071,William Payne,50,5197,12
STAFF-2072,Jeffrey Kim,65,21632,13
STAFF-2073,Michael Hester,48,21816,22
STAFF-2074,Troy Smith,53,17852,11
STAFF-2075,Michael Lane,56,2823,14
STAFF-2076,Mr. Ronald Bryant,73,9250,11
STAFF-2077,Kayla Sullivan,75,2373,12
STAFF-2078,William Garcia,78,20715,18
STAFF-2079,Robert Bell,74,19239,12
STAFF-2080,Nicholas Ellis,91,22162,12
STAFF-2081,Raymond Fuentes,81,19028,22
STAFF-2082,Jasmine Smith,66,24558,19
STAFF-2083,Gregory Washington,63,23965,13
STAFF-2084,Pam Herrera,33,19146,22
STAFF-2085,Marie Johnson,62,5044,24
STAFF-2086,Stephanie Murphy,35,9068,14
STAFF-2087,Joseph Ray,77,8635,21
STAFF-2088,Robyn Gay,98,14363,18
STAFF-2089,Mr. Robert Rodriguez DDS,66,23457,20
STAFF-2090,Jesse Jackson,96,16612,19
STAFF-2091,Kristen Thomas,61,9148,12
STAFF-2092,Crystal Wagner MD,87,18154,12
STAFF-2093,Jody Moore,36,10554,16
STAFF-2094,Jeremiah Bennett,46,10778,17
STAFF-2095,Brooke Mitchell,48,8891,14
STAFF-2096,John Ramirez DVM,98,12102,19
STAFF-2097,Jason Lopez,95,23726,13
STAFF-2098,Dakota Brown,48,14871,19
STAFF-2099,Christopher Haas,48,23522,19
STAFF-2100,Gary Schultz,73,22789,14
STAFF-2101,Rebecca Farmer,78,9129,16
STAFF-2102,Richard Hernandez,54,21222,15
STAFF-2103,James Harrington,72,20206,18
STAFF-2104,James Burns,33,21782,13
STAFF-2105,Robert Mathews,35,17783,22
STAFF-2106,Anna Mathews,32,4814,13
STAFF-2107,Theresa Oconnell,98,4544,11
STAFF-2108,Stacy Perry,42,7790,11
STAFF-2109,Robyn May,57,22650,11
STAFF-2110,Bridget Smith,87,18016,24
STAFF-2111,Michelle Garrett,62,6054,14
STAFF-2112,Erica Hughes,61,7508,13
STAFF-2113,Sandra Dominguez,98,24252,14
STAFF-2114,Chad Cabrera,57,13384,14
STAFF-2115,Kathleen Moore,55,23814,21
STAFF-2116,Jaclyn Moore,49,22052,13
STAFF-2117,Ryan Jackson,65,8870,19
STAFF-2118,Melissa Clark,68,4821,17
STAFF-2119,Julian Rose,65,13137,18
STAFF-2120,Brian Morales,34,10022,19
STAFF-2121,Amy Allen,57,17725,13
STAFF-2122,Stacy Morgan,77,9834,18
STAFF-2123,Sean Salazar,70,4303,21
STAFF-2124,Megan Matthews,76,17808,19
STAFF-2125,Lisa Berger,83,6896,14
STAFF-2126,Thomas Foster,68,7824,17
STAFF-2127,Kimberly Roman,100,3339,11
STAFF-2128,Danielle Pearson,37,9255,13
STAFF-2129,Kathleen Ortiz,41,11737,15
STAFF-2130,Austin Lynn,51,19170,25
STAFF-2131,Donna Avery,51,22477,11
STAFF-2132,Vanessa Edwards,51,5543,17
STAFF-2133,Jennifer Hansen,45,24406,13
STAFF-2134,Barry Garcia,65,23293,18
STAFF-2135,Matthew Ryan,80,16292,13
STAFF-2136,Joseph Melton,70,3974,20
STAFF-2137,Jonathan Rodriguez,36,18798,18
STAFF-2138,Jamie Salinas,67,20652,12
STAFF-2139,Samantha Clarke,52,11148,12
STAFF-2140,Carlos Smith,59,3119,13
STAFF-2141,Collin Kline,79,12287,21
STAFF-2142,Becky Stein,37,9947,13
STAFF-2143,David Giles,84,13008,19
STAFF-2144,Shawn Holland,41,17369,11
STAFF-2145,Ronald Steele,35,25063,14
STAFF-2146,Mary Willis,93,13554,12
STAFF-2147,Joanna Liu,51,5518,11
STAFF-2148,Mr. Kevin Duffy,42,12291,14
STAFF-2149,Daniel Haas,46,14922,11
STAFF-2150,Phillip Williams,57,23163,12
STAFF-2151,Teresa Little,84,18203,15
STAFF-2152,Christopher Martin,86,6179,16
STAFF-2153,James Mitchell,70,13829,15
STAFF-2154,Samuel Webster,51,26227,24
STAFF-2155,Paul Young,45,13938,13
STAFF-2156,Connie Edwards,62,9977,11
STAFF-2157,Daniel Ross,85,19899,13
STAFF-2158,Javier Irwin,92,6812,13
STAFF-2159,Anthony Warner,41,2560,18
STAFF-2160,Michael Hayes,100,17071,16
STAFF-2161,Justin Wells,64,6759,19
STAFF-2162,Matthew Thomas,84,25952,13
STAFF-2163,Nicole Brown,46,10322,22
STAFF-2164,Cassandra Gonzales,38,20489,11
STAFF-2165,Keith Bryan,92,11479,20
STAFF-2166,Mr. Alexander Soto,53,17241,18
STAFF-2167,Kimberly Glenn,91,11005,14
STAFF-2168,Brian Shaw,66,6615,22
STAFF-2169,Caitlyn Haynes,84,20161,13
STAFF-2170,Randy Johnson,64,3735,17
STAFF-2171,Jeffery Cantrell,37,12086,14
STAFF-2172,Julie Lyons,42,14039,15
STAFF-2173,Amanda Crawford,83,8571,17
STAFF-2174,Thomas Figueroa,48,11539,11
STAFF-2175,Matthew Carson,95,4161,18
STAFF-2176,Gina Davis,66,12127,17
STAFF-2177,Alison Perry,75,24208,13
STAFF-2178,Andrew Hanson,41,24117,15
STAFF-2179,Christian Jackson,39,10074,24
STAFF-2180,Melissa Coleman,96,11275,12
STAFF-2181,Erin Lynn,73,13493,15
STAFF-2182,Jason Alvarado,56,13943,11
STAFF-2183,Linda Farrell,57,6975,11
STAFF-2184,Kevin Thompson,73,17802,12
STAFF-2185,Maria Yu,98,18275,15
STAFF-2186,Eric Ferguson,60,25725,17
STAFF-2187,Kelly Daniels,32,3334,12
STAFF-2188,Michele Middleton,94,6881,15
STAFF-2189,Eugene Garcia,97,13119,13
STAFF-2190,Laurie Dunn,78,22245,14
STAFF-2191,Gregory Smith,42,23371,14
STAFF-2192,Chad Beltran,65,7060,16
STAFF-2193,Crystal Ward,47,4658,18
STAFF-2194,Anna Jones,45,9541,20
STAFF-2195,Robert Roberts,90,7770,13
STAFF-2196,Linda Davis,64,20165,18
STAFF-2197,Kevin Benson,69,21829,13
STAFF-2198,Maria Proctor,61,14382,15
STAFF-2199,Sandra Villa,62,12992,14
STAFF-2200,Bryan Hays,55,20284,22
STAFF-2201,Jennifer Roberts,42,4981,12
STAFF-2202,Amanda Graham,79,21813,18
STAFF-2203,Kathryn Miller,57,25846,15
STAFF-2204,Stephanie Kim,53,11737,18
STAFF-2205,Robin Abbott,95,24920,12
STAFF-2206,Alan Hoover,43,8269,16
STAFF-2207,Carlos Bradshaw,82,5083,13
STAFF-2208,Andrew Simpson,88,21437,19
STAFF-2209,Jesus Chapman,90,5404,13
STAFF-2210,Stephen Nelson,69,11135,12
STAFF-2211,Heidi Dominguez,75,12278,11
STAFF-2212,Morgan Meyers DDS,66,11038,14
STAFF-2213,Deborah Hayes,36,8318,16
STAFF-2214,Paul Smith,38,23537,12
STAFF-2215,Daniel Medina,81,7858,14
STAFF-2216,Ethan Camacho,57,15346,14
STAFF-2217,Karen Williams,87,18410,19
STAFF-2218,Chad Harrington,74,23384,22
STAFF-2219,Hector Olson,44,2997,16
STAFF-2220,Michelle Peterson,62,12853,11
STAFF-2221,Jessica Alvarado,35,13848,15
STAFF-2222,Misty Brooks,74,22217,14
STAFF-2223,Anna Harris,66,25265,13
STAFF-2224,Alexis Rodriguez,40,21445,17
STAFF-2225,Vincent Carpenter,41,8392,11
STAFF-2226,Kristina Jones,63,12154,19
STAFF-2227,Laurie Rivera,51,15669,11
STAFF-2228,Christina Jones,40,17323,15
STAFF-2229,Gabriel Thomas,79,5268,13
STAFF-2230,Kimberly Cole,54,17205,14
STAFF-2231,Brenda Coffey,36,17258,13
STAFF-2232,Scott Gomez,74,21029,23
STAFF-2233,Patrick Ball,34,10332,12
STAFF-2234,Robert Dudley,72,12355,12
STAFF-2235,Andrea Ford,59,11141,16
STAFF-2236,Julie Marshall,85,9096,15
STAFF-2237,Kathryn Montgomery,43,18863,13
STAFF-2238,Jake Lewis,65,24608,18
STAFF-2239,Michelle Stevenson,61,26542,20
STAFF-2240,Lee Stewart,87,5869,19
STAFF-2241,Krystal Andrade,65,15813,18
STAFF-2242,Christina Bonilla,59,7909,13
STAFF-2243,Mrs. Crystal Maldonado,91,2326,14
STAFF-2244,Aaron Rose,34,21214,15
STAFF-2245,Philip Mathis,86,10333,22
STAFF-2246,Tracy Mata,54,3129,22
STAFF-2247,Jaime Hensley,50,22482,16
STAFF-2248,Stephanie Morales,45,22266,17
STAFF-2249,Michelle Miller,88,24223,14
STAFF-2250,Lori Wagner,32,4605,15
STAFF-2251,Dana Anderson,37,19373,20
STAFF-2252,Cheryl Baker,55,2993,20
STAFF-2253,Andrew Pena,35,14399,17
STAFF-2254,Kelsey Reynolds,45,7160,15
STAFF-2255,Daniel Walters,81,17251,14
STAFF-2256,Douglas Torres,30,13401,17
STAFF-2257,Timothy Mcguire,40,22478,17
STAFF-2258,Jessica Jones,35,16154,22
STAFF-2259,Kenneth Baker,65,17970,13
STAFF-2260,Anthony Kelly,87,15322,19
STAFF-2261,John Gonzalez,73,5569,14
STAFF-2262,Nancy Drake,93,26968,22
STAFF-2263,Lisa Thomas,93,8039,17
STAFF-2264,Joshua Bryant,52,15596,12
STAFF-2265,Michael Sweeney,32,20619,16
STAFF-2266,Scott Martin,83,11535,11
STAFF-2267,Jonathan Jones,84,13547,11
STAFF-2268,James Ellis,44,17544,14
STAFF-2269,Johnny Miller,70,25326,11
STAFF-2270,Shaun Snyder,70,8770,15
STAFF-2271,Austin Wright,78,23238,20
STAFF-2272,Elizabeth Lopez,67,21981,12
STAFF-2273,Connie Joseph,67,19911,17
STAFF-2274,Michelle Barton,54,18500,11
STAFF-2275,Heather Wilson,56,11879,17
STAFF-2276,Olivia Austin,95,15834,11
STAFF-2277,Gerald Kelley,61,17940,14
STAFF-2278,Gordon Bender,56,9558,19
STAFF-2279,Dr. Travis Hicks MD,79,17689,15
STAFF-2280,Nicholas Webb,37,6004,13
STAFF-2281,Sarah Jones,39,22088,14
STAFF-2282,Sean Rodriguez,80,13556,12
STAFF-2283,Michael Daugherty,77,18385,17
STAFF-2284,Suzanne Allen,46,9051,11
STAFF-2285,Carla Jones,72,6233,12
STAFF-2286,William Reed,52,17171,13
STAFF-2287,Valerie Hardy,55,7950,13
STAFF-2288,Taylor Smith,70,5829,20
STAFF-2289,Allison Snyder MD,100,7108,17
STAFF-2290,Erica Logan,45,11162,13
STAFF-2291,Shawn Odom,88,13782,17
STAFF-2292,Jessica Combs,44,2447,12
STAFF-2293,Jeffrey Johnson,45,2253,13
STAFF-2294,Angela Sanchez,58,16340,12
STAFF-2295,Donna Little,49,6409,22
STAFF-2296,Gregory Robinson,79,22955,11
STAFF-2297,Megan French,82,13421,22
STAFF-2298,Melissa Payne,72,2706,18
STAFF-2299,Tammy Scott,92,21203,13
STAFF-2300,Marcus Smith,44,19588,18
STAFF-2301,Laura Mccoy,97,25755,20
STAFF-2302,Emily Sullivan,47,26537,13
STAFF-2303,Eric Hoffman,85,9489,13
STAFF-2304,Dr. Jeremy Tran,76,14947,12
STAFF-2305,Leslie Flores,92,18575,13
STAFF-2306,Stephen Mcclain,54,26342,13
STAFF-2307,Robert Kim,54,7172,25
STAFF-2308,Dave Mann,83,20100,19
STAFF-2309,Melanie Thomas,56,9961,13
STAFF-2310,Jonathan Mathis,87,12828,12
STAFF-2311,Brandon Mays,96,10826,11
STAFF-2312,Emily Collins,50,18640,18
STAFF-2313,Michael Holmes,69,26933,18
STAFF-2314,Edwin Zamora,48,4223,11
STAFF-2315,Amanda Brown,69,24097,23
STAFF-2316,Brandon Harrison,74,4279,13
STAFF-2317,James Booker,99,8429,13
STAFF-2318,Nancy Zavala,95,20293,17
STAFF-2319,Abigail Bailey,61,13192,19
STAFF-2320,Richard Smith,62,25440,12
STAFF-2321,Jamie Snyder,30,9490,22
STAFF-2322,Scott Rush,78,12449,12
STAFF-2323,Nathan Campbell,52,10849,11
STAFF-2324,Jacob Lopez,94,21026,15
STAFF-2325,Monique George,97,3372,13
STAFF-2326,Teresa Jones,82,4905,12
STAFF-2327,Sandra Obrien,60,6865,14
STAFF-2328,Paul Scott,49,11309,13
STAFF-2329,Jenna Mendoza,32,7744,25
STAFF-2330,Victoria Barnett,43,5050,17
STAFF-2331,Elaine Rivera,60,17433,11
STAFF-2332,Amanda Cox,79,12858,16
STAFF-2333,Angela Haley,52,10893,18
STAFF-2334,Allen Miller,77,7331,20
STAFF-2335,Donna Cunningham,38,2338,14
STAFF-2336,Katelyn Barnett,77,4235,21
STAFF-2337,Randy Andrews,60,6311,13
STAFF-2338,Paul Young,84,11591,12
STAFF-2339,Sheena Clayton,57,20623,14
STAFF-2340,Jennifer Golden,63,9369,21
STAFF-2341,Gwendolyn Shelton,60,23281,17
STAFF-2342,Teresa Fletcher,78,13755,11
STAFF-2343,Tracy Wright,42,14377,14
STAFF-2344,Melvin Singleton,53,9659,17
STAFF-2345,Adam Davis,72,19982,13
STAFF-2346,Jacqueline Beasley,96,6148,25
STAFF-2347,Tammy Perry,97,5598,15
STAFF-2348,Lisa White,85,23474,14
STAFF-2349,Samuel Thompson,80,17089,12
STAFF-2350,Glenda Richards,96,17198,19
STAFF-2351,Jennifer Arias,48,16490,17
STAFF-2352,Rachel Schultz,96,18625,14
STAFF-2353,Scott Shaffer,85,12124,13
STAFF-2354,Kimberly Peterson DDS,46,9256,12
STAFF-2355,Laura Thompson,76,16620,11
STAFF-2356,Crystal Jackson,76,3208,11
STAFF-2357,Anna Adams,82,4204,11
STAFF-2358,Kyle Bartlett,76,8733,12
STAFF-2359,Nicole Martinez,87,3423,14
STAFF-2360,Peter Taylor,89,21643,17
STAFF-2361,Kevin Morton,88,8751,11
STAFF-2362,Christina Gross,82,21708,14
STAFF-2363,Julie Nichols,57,21221,12
STAFF-2364,Justin Wallace,47,16901,22
STAFF-2365,Valerie Estes,73,8040,14
STAFF-2366,Amanda Bates,53,9973,20
STAFF-2367,Natasha Sullivan DDS,94,2493,16
STAFF-2368,Thomas Byrd,37,25592,15
STAFF-2369,Brandon Blanchard,45,25308,20
STAFF-2370,Kristen Martinez,33,9946,14
STAFF-2371,Brittany Costa,86,6039,12
STAFF-2372,Karen Phillips,83,19196,24
STAFF-2373,Elizabeth Thompson,67,20002,12
STAFF-2374,Christine Johnson,46,22534,13
STAFF-2375,Justin Wagner,44,6842,11
STAFF-2376,Victor Johnson,92,17477,14
STAFF-2377,Randall Davis,56,21833,11
STAFF-2378,Bryce Nelson,66,6020,14
STAFF-2379,John Johnson,78,5628,16
STAFF-2380,Amber Blackburn,56,20364,14
STAFF-2381,Jessica Flores,53,2323,11
STAFF-2382,David King,73,14075,11
STAFF-2383,Stacey Miller,52,14222,12
STAFF-2384,Charles Hardy,40,4257,14
STAFF-2385,Amanda Warner,72,12858,18
STAFF-2386,Sarah Lewis,39,17285,13
STAFF-2387,Gary Lopez,84,4732,11
STAFF-2388,David Oconnor,40,18830,18
STAFF-2389,Thomas Walters,56,11693,15
STAFF-2390,Thomas Burke,83,13035,22
STAFF-2391,Stephanie Martin,94,17334,13
STAFF-2392,Ronald Garcia,88,26076,12
STAFF-2393,James Cruz,79,22845,18
STAFF-2394,Charles Cook,93,22154,13
STAFF-2395,Paula Taylor,48,23631,12
STAFF-2396,Kenneth Stephenson,63,5747,12
STAFF-2397,Alexander Ryan,44,22957,12
STAFF-2398,Bobby Daniels,55,16392,11
STAFF-2399,Dana Miller,43,22422,11
STAFF-2400,Nancy Hart,57,17235,12
STAFF-2401,Lauren Craig,64,21534,19
STAFF-2402,Timothy Contreras,95,25927,23
STAFF-2403,Christina Vasquez,32,13352,11
STAFF-2404,Anita Flores,57,8935,19
STAFF-2405,Savannah Sloan,40,22074,13
STAFF-2406,Richard Rodriguez,54,8319,11
STAFF-2407,Cory Blankenship,89,14669,12
STAFF-2408,John Alexander,37,26582,13
STAFF-2409,Richard Smith,58,6992,14
STAFF-2410,David Ellis,99,4022,14
STAFF-2411,Christopher Martinez,74,8532,16
STAFF-2412,Alexandria Wright,86,5494,11
STAFF-2413,Terri Adams,98,22455,13
STAFF-2414,Ashley Mcdonald,66,4297,17
STAFF-2415,Jennifer Greene,87,2690,11
STAFF-2416,Jeffery Vargas,84,17588,11
STAFF-2417,Brandon Shannon,31,19461,15
STAFF-2418,Mr. Joseph Oliver,66,23553,12
